,ApplicationCycle,Ethnicity,AnticipatedCompletionDate,ProgramName,CountryName,ProgramCity,ProgramRegion,ApplicationID,ProgramYear,ProgramTerm,ApplicationStatusAlias,Gender,PreferredGender,AcademicYear,StartYear
1,Academic Year 2016,,,IES Abroad Salamanca - Study in Salamanca,Spain,Salamanca,Europe,28667,2016,Academic Year,Approved,M,NA,2016-2017,2016
2,Academic Year 2016,International student,May 21 2018 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,28668,2016,Academic Year,Approved,F,NA,2016-2017,2016
3,Academic Year 2016,International student,May 21 2018 12:00AM,X - Dartmouth College Engineering Program,United States,"Hanover, NH",North America,28669,2016,Academic Year,Approved,M,NA,2016-2017,2016
4,Academic Year 2016,International student,May 21 2018 12:00AM,X - Smith College: Geneva,Switzerland,Geneva,Europe,28670,2016,Academic Year,Approved,F,NA,2016-2017,2016
5,Academic Year 2016,,,IES Abroad Nantes - Study in Nantes,France,Nantes,Europe,28672,2016,Academic Year,Approved,F,NA,2016-2017,2016
6,Academic Year 2017,White,May 20 2019 12:00AM,Middlebury School in Russia: Irkutsk,Russia,Irkustk,Europe,41132,2017,Academic Year,Intend to Participate,F,NA,2017-2018,2017
7,Academic Year 2017,International student,May 20 2019 12:00AM,X - The Swedish Program: Liberal Arts at the Stockholm School of Economics,Sweden,Stockholm,Europe,43227,2017,Academic Year,Approved,M,NA,2017-2018,2017
8,Academic Year 2017,International student,May 20 2019 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,43393,2017,Academic Year,Approved,M,NA,2017-2018,2017
9,Academic Year 2018,Asian,May 18 2020 12:00AM,Leiden University College,Netherlands,The Hague,Europe,77148,2018,Academic Year,Intend to Participate,M,NA,2018-2019,2018
10,Academic Year 2018,White,May 18 2020 12:00AM,CET Prague Film Production,Czechia,Prague,Europe,81993,2018,Academic Year,Intend to Participate,F,NA,2018-2019,2018
11,Academic Year 2018,White,May 18 2020 12:00AM,Wayne State University Munich Program,Germany,Munich,Europe,84209,2018,Academic Year,Intend to Participate,F,NA,2018-2019,2018
12,Academic Year 2018,Ethnicity and race unknown,May 18 2020 12:00AM,Arcadia Abroad - University of Oxford,United Kingdom,Oxford,Europe,84336,2018,Academic Year,Intend to Participate,M,NA,2018-2019,2018
13,Academic Year 2019,Ethnicity and race unknown,May 25 2021 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,116048,2019,Academic Year,Intend to Participate,M,NA,2019-2020,2019
14,Academic Year 2019,Hispanic (of any race),May 25 2021 12:00AM,Japan Study at Waseda University (Earlham College),Japan,Tokyo,Asia,120556,2019,Academic Year,Intend to Participate,F,NA,2019-2020,2019
15,Academic Year 2019,International student,Dec 17 2021 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,121893,2019,Academic Year,Intend to Participate,F,NA,2019-2020,2019
16,Academic Year 2019,International student,May 25 2021 12:00AM,Hamilton in France,France,Paris,Europe,122487,2019,Academic Year,Intend to Participate,M,NA,2019-2020,2019
17,Academic Year 2019,Asian,Dec 18 2020 12:00AM,Bard-Smolny Study Abroad Program,Russia,St Petersburg,Europe,127314,2019,Academic Year,Intend to Participate,F,NA,2019-2020,2019
18,Academic Year 2019,White,May 25 2021 12:00AM,X - IFSA Rothberg International School Partnership,Israel,Jerusalem,MENA,127316,2019,Academic Year,Intend to Participate,M,NA,2019-2020,2019
19,Academic Year 2021,White,May 23 2022 12:00AM,Wayne State University Munich Program,Germany,Munich,Europe,196567,2021,Academic Year,Intend to Participate,M,NA,2021-2022,2021
20,Academic Year 2021,International student,May 22 2023 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,205753,2021,Academic Year,Intend to Participate,F,NA,2021-2022,2021
21,Academic Year 2021,International student,May 22 2023 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,205764,2021,Academic Year,Intend to Participate,F,NA,2021-2022,2021
22,Academic Year 2021,White,May 22 2023 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,207430,2021,Academic Year,Intend to Participate,M,NA,2021-2022,2021
23,Academic Year 2021,International student,May 22 2023 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,208284,2021,Academic Year,Intend to Participate,M,NA,2021-2022,2021
24,Academic Year 2022,International student,May 20 2024 12:00AM,X - Dartmouth College Engineering Program,United States,"Hanover, NH",North America,230543,2022,Academic Year,Intend to Participate,M,NA,2022-2023,2022
25,Academic Year 2023,Two or more races,May 19 2025 12:00AM,IES Abroad Nagoya Direct Enrollment - Nanzan University,Japan,Nagoya,Asia,254022,2023,Academic Year,Intend to Participate,F,NA,2023-2024,2023
26,Academic Year 2023,White,May 19 2025 12:00AM,Japan Study at Waseda University (Earlham College),Japan,Tokyo,Asia,254024,2023,Academic Year,Intend to Participate,M,NA,2023-2024,2023
27,Academic Year 2023,Black or African-American,May 19 2025 12:00AM,Japan Study at Waseda University (Earlham College),Japan,Tokyo,Asia,254028,2023,Academic Year,Intend to Participate,F,NA,2023-2024,2023
28,Academic Year 2023,White,May 19 2025 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,255888,2023,Academic Year,Intend to Participate,M,NA,2023-2024,2023
29,Academic Year 2023,International student,May 19 2025 12:00AM,Wayne State University Munich Program,Germany,Munich,Europe,257566,2023,Academic Year,Intend to Participate,M,NA,2023-2024,2023
30,Academic Year 2023,International student,May 19 2025 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,258939,2023,Academic Year,Intend to Participate,F,NA,2023-2024,2023
31,Academic Year 2023,International student,May 19 2025 12:00AM,Wayne State University Munich Program,Germany,Munich,Europe,260031,2023,Academic Year,Intend to Participate,M,NA,2023-2024,2023
32,Academic Year 2023,International student,May 19 2025 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,261900,2023,Academic Year,Intend to Participate,F,NA,2023-2024,2023
33,Academic Year 2023,International student,May 19 2025 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,262775,2023,Academic Year,Intend to Participate,F,NA,2023-2024,2023
34,Academic Year 2023,White,May 19 2025 12:00AM,X - Middlebury School in Italy: Florence,Italy,Florence,Europe,263162,2023,Academic Year,Intend to Participate,F,NA,2023-2024,2023
35,Academic Year 2023,White,May 19 2025 12:00AM,IES Abroad Nantes - Study in Nantes,France,Nantes,Europe,263163,2023,Academic Year,Intend to Participate,M,NA,2023-2024,2023
36,Academic Year 2023,International student,May 19 2025 12:00AM,London School of Economics and Political Science,United Kingdom,London,Europe,268639,2023,Academic Year,Intend to Participate,M,NA,2023-2024,2023
37,Fall 2016,Hispanic (of any race),May 21 2018 12:00AM,X - ACM Florence,Italy,Florence,Europe,28412,2016,Fall,Approved,M,NA,2016-2017,2016
38,Fall 2016,International student,May 21 2018 12:00AM,University of Minnesota: MSID Senegal,Senegal,Dakar,Sub-Saharan Africa,28515,2016,Fall,Approved,F,NA,2016-2017,2016
39,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28517,2016,Fall,Approved,F,NA,2016-2017,2016
41,Fall 2016,White,May 21 2018 12:00AM,University of Minnesota: MSID Senegal,Senegal,Dakar,Sub-Saharan Africa,28519,2016,Fall,Approved,F,NA,2016-2017,2016
42,Fall 2016,Asian,May 21 2018 12:00AM,X - ACM Jordan: Middle East & Arabic Language Studies,Jordan,Amman,MENA,28521,2016,Fall,Approved,M,NA,2016-2017,2016
43,Fall 2016,International student,May 21 2018 12:00AM,IES Abroad European Union,Germany,Freiburg im Breisgau,Europe,28523,2016,Fall,Approved,F,NA,2016-2017,2016
44,Fall 2016,Asian,May 21 2018 12:00AM,X - Trinity/La Mama Performing Arts Semester,United States,"New York, NY",North America,28525,2016,Fall,Approved,M,NA,2016-2017,2016
45,Fall 2016,International student,May 21 2018 12:00AM,X - KU Leuven: Programme in European Culture and Society,Belgium,Leuven,Europe,28527,2016,Fall,Approved,F,NA,2016-2017,2016
46,Fall 2016,Asian,May 21 2018 12:00AM,X - ACM Costa Rica: Community Engagement,Costa Rica,San Jose,Latin America and Caribbean,28529,2016,Fall,Approved,M,NA,2016-2017,2016
47,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28531,2016,Fall,Approved,M,NA,2016-2017,2016
48,Fall 2016,Black or African-American,May 21 2018 12:00AM,X - Trinity/La Mama Performing Arts Semester,United States,"New York, NY",North America,28533,2016,Fall,Approved,F,NA,2016-2017,2016
49,Fall 2016,White,May 21 2018 12:00AM,X - ACM Florence,Italy,Florence,Europe,28536,2016,Fall,Approved,F,NA,2016-2017,2016
50,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28537,2016,Fall,Approved,F,NA,2016-2017,2016
51,Fall 2016,International student,May 21 2018 12:00AM,X - Dickinson in Moscow,Russia,Moscow,Europe,28538,2016,Fall,Approved,M,NA,2016-2017,2016
52,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28539,2016,Fall,Approved,M,NA,2016-2017,2016
54,Fall 2016,White,May 21 2018 12:00AM,IES Abroad Granada - Study in Granada,Spain,Granada,Europe,28540,2016,Fall,Approved,F,NA,2016-2017,2016
55,Fall 2016,White,May 21 2018 12:00AM,X - The Swedish Program: Liberal Arts at the Stockholm School of Economics,Sweden,Stockholm,Europe,28541,2016,Fall,Approved,F,NA,2016-2017,2016
56,Fall 2016,White,May 22 2017 12:00AM,Bard-Smolny Study Abroad Program,Russia,St Petersburg,Europe,28542,2016,Fall,Approved,F,NA,2016-2017,2016
57,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28543,2016,Fall,Approved,F,NA,2016-2017,2016
59,Fall 2016,White,May 21 2018 12:00AM,ACM Newberry Seminar: Research in the Humanities,United States,"Chicago, IL",North America,28544,2016,Fall,Approved,F,NA,2016-2017,2016
60,Fall 2016,Two or more races,May 21 2018 12:00AM,IES Abroad Granada - Study in Granada,Spain,Granada,Europe,28545,2016,Fall,Approved,F,NA,2016-2017,2016
61,Fall 2016,Black or African-American,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28546,2016,Fall,Approved,M,NA,2016-2017,2016
62,Fall 2016,White,May 21 2018 12:00AM,IES Abroad Nantes - Study in Nantes,France,Nantes,Europe,28547,2016,Fall,Approved,F,NA,2016-2017,2016
63,Fall 2016,White,Dec 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28548,2016,Fall,Approved,F,NA,2016-2017,2016
65,Fall 2016,White,May 21 2018 12:00AM,X - American University - Center of Provence Marseille,France,Marseille,Europe,28549,2016,Fall,Approved,F,NA,2016-2017,2016
66,Fall 2016,White,May 22 2017 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,28551,2016,Fall,Approved,M,NA,2016-2017,2016
67,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28552,2016,Fall,Approved,F,NA,2016-2017,2016
68,Fall 2016,International student,May 22 2017 12:00AM,"X - NYU Washington, DC",United States,"Washington, D.C.",North America,28553,2016,Fall,Approved,M,NA,2016-2017,2016
69,Fall 2016,Asian,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28554,2016,Fall,Approved,F,NA,2016-2017,2016
71,Fall 2016,Black or African-American,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28555,2016,Fall,Approved,M,NA,2016-2017,2016
72,Fall 2016,Hispanic (of any race),May 21 2018 12:00AM,Marine Biological Laboratory - Semester in Environmental Science,United States,"Falmouth, MA",North America,28556,2016,Fall,Approved,F,NA,2016-2017,2016
73,Fall 2016,White,May 21 2018 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,28557,2016,Fall,Approved,M,NA,2016-2017,2016
74,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28558,2016,Fall,Approved,M,NA,2016-2017,2016
75,Fall 2016,White,May 21 2018 12:00AM,National Theater Institute,United States,"Waterford, CT",North America,28559,2016,Fall,Approved,F,NA,2016-2017,2016
76,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28561,2016,Fall,Approved,F,NA,2016-2017,2016
78,Fall 2016,International student,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28562,2016,Fall,Approved,M,NA,2016-2017,2016
79,Fall 2016,White,May 21 2018 12:00AM,X - Organization for Tropical Studies: Tropical Diseases & Environmental Change & Human Health,Costa Rica,San Jose,Latin America and Caribbean,28563,2016,Fall,Approved,M,NA,2016-2017,2016
80,Fall 2016,International student,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28564,2016,Fall,Approved,M,NA,2016-2017,2016
82,Fall 2016,Hispanic (of any race),May 21 2018 12:00AM,"CIEE Liberal Arts Program in Buenos Aires, Argentina",Argentina,Buenos Aires,Latin America and Caribbean,28565,2016,Fall,Approved,F,NA,2016-2017,2016
83,Fall 2016,White,May 21 2018 12:00AM,ACTR Advanced Russian Language & Area Studies St Petersburg (RLASP),Russia,Saint Petersburg,Europe,28566,2016,Fall,Approved,F,NA,2016-2017,2016
84,Fall 2016,Black or African-American,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28567,2016,Fall,Approved,F,NA,2016-2017,2016
86,Fall 2016,Hispanic (of any race),May 21 2018 12:00AM,X - Organization for Tropical Studies: Tropical Diseases & Environmental Change & Human Health,Costa Rica,San Jose,Latin America and Caribbean,28568,2016,Fall,Approved,F,NA,2016-2017,2016
87,Fall 2016,White,May 21 2018 12:00AM,X - ACM Costa Rica: Community Engagement,Costa Rica,San Jose,Latin America and Caribbean,28569,2016,Fall,Approved,F,NA,2016-2017,2016
88,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28571,2016,Fall,Approved,F,NA,2016-2017,2016
89,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28572,2016,Fall,Approved,F,NA,2016-2017,2016
91,Fall 2016,White,May 21 2018 12:00AM,X - IES Abroad Amsterdam - Study Amsterdam,Netherlands,Amsterdam,Europe,28573,2016,Fall,Approved,F,NA,2016-2017,2016
92,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28574,2016,Fall,Approved,F,NA,2016-2017,2016
93,Fall 2016,Hispanic (of any race),May 21 2018 12:00AM,X - ACM Florence,Italy,Florence,Europe,28575,2016,Fall,Approved,F,NA,2016-2017,2016
94,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28577,2016,Fall,Approved,F,NA,2016-2017,2016
95,Fall 2016,International student,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28578,2016,Fall,Approved,F,NA,2016-2017,2016
97,Fall 2016,Asian,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28579,2016,Fall,Approved,M,NA,2016-2017,2016
99,Fall 2016,White,May 21 2018 12:00AM,IES Abroad Granada - Study in Granada,Spain,Granada,Europe,28580,2016,Fall,Approved,F,NA,2016-2017,2016
100,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28581,2016,Fall,Approved,M,NA,2016-2017,2016
102,Fall 2016,Black or African-American,May 22 2017 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28583,2016,Fall,Approved,F,NA,2016-2017,2016
103,Fall 2016,Black or African-American,May 21 2018 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,28584,2016,Fall,Approved,F,NA,2016-2017,2016
104,Fall 2016,White,May 21 2018 12:00AM,IES Abroad Berlin - Metropolitan & Urban Studies,Germany,Berlin,Europe,28585,2016,Fall,Approved,M,NA,2016-2017,2016
105,Fall 2016,International student,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28586,2016,Fall,Approved,F,NA,2016-2017,2016
106,Fall 2016,White,May 21 2018 12:00AM,X - SIT Study Abroad Ecuador: Comparative Ecology and Conservation,Ecuador,Galapagos,Latin America and Caribbean,28587,2016,Fall,Approved,F,NA,2016-2017,2016
107,Fall 2016,White,May 21 2018 12:00AM,X - SIT Study Abroad Ecuador: Comparative Ecology and Conservation,Ecuador,Quito,Latin America and Caribbean,28587,2016,Fall,Approved,F,NA,2016-2017,2016
108,Fall 2016,International student,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28588,2016,Fall,Approved,F,NA,2016-2017,2016
110,Fall 2016,White,May 21 2018 12:00AM,X - South India Term Abroad,India,Madurai,Asia,28589,2016,Fall,Approved,F,NA,2016-2017,2016
111,Fall 2016,International student,May 22 2017 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,28590,2016,Fall,Approved,F,NA,2016-2017,2016
112,Fall 2016,Black or African-American,May 21 2018 12:00AM,"CIEE Liberal Arts Program in Buenos Aires, Argentina",Argentina,Buenos Aires,Latin America and Caribbean,28591,2016,Fall,Approved,M,NA,2016-2017,2016
113,Fall 2016,Hispanic (of any race),May 21 2018 12:00AM,Institute for Central American Development Studies - Social Justice & Development Internship,Costa Rica,San Jose,Latin America and Caribbean,28592,2016,Fall,Approved,F,NA,2016-2017,2016
114,Fall 2016,International student,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28593,2016,Fall,Approved,F,NA,2016-2017,2016
115,Fall 2016,White,May 21 2018 12:00AM,"CIEE Liberal Arts Program in Buenos Aires, Argentina",Argentina,Buenos Aires,Latin America and Caribbean,28594,2016,Fall,Approved,F,NA,2016-2017,2016
116,Fall 2016,Asian,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28595,2016,Fall,Approved,F,NA,2016-2017,2016
118,Fall 2016,White,May 21 2018 12:00AM,IES Abroad Vienna - Music,Austria,Vienna,Europe,28596,2016,Fall,Approved,M,NA,2016-2017,2016
119,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28597,2016,Fall,Approved,M,NA,2016-2017,2016
121,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28598,2016,Fall,Approved,F,NA,2016-2017,2016
123,Fall 2016,White,May 21 2018 12:00AM,"X - Leiden University, Flexible Course Enrollment in English - ISEP Direct",Netherlands,Leiden,Europe,28599,2016,Fall,Approved,F,NA,2016-2017,2016
124,Fall 2016,International student,May 21 2018 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,28600,2016,Fall,Approved,F,NA,2016-2017,2016
125,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28601,2016,Fall,Approved,F,NA,2016-2017,2016
127,Fall 2016,Asian,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28602,2016,Fall,Approved,F,NA,2016-2017,2016
128,Fall 2016,International student,May 21 2018 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,28603,2016,Fall,Approved,F,NA,2016-2017,2016
129,Fall 2016,Black or African-American,May 21 2018 12:00AM,X - American University - Center of Provence Marseille,France,Marseille,Europe,28604,2016,Fall,Approved,F,NA,2016-2017,2016
130,Fall 2016,Black or African-American,May 21 2018 12:00AM,IES Abroad Quito - Area Studies & Language,Ecuador,Quito,Latin America and Caribbean,28605,2016,Fall,Approved,F,NA,2016-2017,2016
131,Fall 2016,White,May 21 2018 12:00AM,X - Organization for Tropical Studies: Tropical Diseases & Environmental Change & Human Health,Costa Rica,San Jose,Latin America and Caribbean,28606,2016,Fall,Approved,F,NA,2016-2017,2016
132,Fall 2016,White,May 22 2017 12:00AM,Grinnell in London,United Kingdom,London,Europe,28607,2016,Fall,Approved,F,NA,2016-2017,2016
134,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28608,2016,Fall,Approved,F,NA,2016-2017,2016
136,Fall 2016,International student,May 21 2018 12:00AM,Budapest Semesters in Math,Hungary,Budapest,Europe,28609,2016,Fall,Approved,M,NA,2016-2017,2016
137,Fall 2016,International student,May 21 2018 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,28610,2016,Fall,Approved,M,NA,2016-2017,2016
138,Fall 2016,International student,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28611,2016,Fall,Approved,M,NA,2016-2017,2016
140,Fall 2016,White,May 21 2018 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,28612,2016,Fall,Approved,M,NA,2016-2017,2016
141,Fall 2016,White,May 21 2018 12:00AM,National Theater Institute,United States,"Waterford, CT",North America,28613,2016,Fall,Approved,M,NA,2016-2017,2016
142,Fall 2016,International student,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28614,2016,Fall,Approved,F,NA,2016-2017,2016
143,Fall 2016,White,May 21 2018 12:00AM,The School for Field Studies - Bhutan: Himalayan Environment and Society in Transition,Bhutan,Paro,Asia,28615,2016,Fall,Approved,F,NA,2016-2017,2016
144,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28616,2016,Fall,Approved,F,NA,2016-2017,2016
145,Fall 2016,Asian,May 21 2018 12:00AM,ISEP Study in Seoul - Ewha Womans University - ISEP Direct,"Korea, South ",Seoul,Asia,28617,2016,Fall,Approved,F,NA,2016-2017,2016
146,Fall 2016,Asian,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28618,2016,Fall,Approved,F,NA,2016-2017,2016
148,Fall 2016,Two or more races,May 21 2018 12:00AM,The School for Field Studies - Bhutan: Himalayan Environment and Society in Transition,Bhutan,Paro,Asia,28619,2016,Fall,Approved,M,NA,2016-2017,2016
149,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28620,2016,Fall,Approved,F,NA,2016-2017,2016
150,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28621,2016,Fall,Approved,F,NA,2016-2017,2016
152,Fall 2016,Two or more races,May 21 2018 12:00AM,China Studies Institute,China,Beijing,Asia,28622,2016,Fall,Approved,F,NA,2016-2017,2016
153,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28623,2016,Fall,Approved,F,NA,2016-2017,2016
154,Fall 2016,Hispanic (of any race),May 22 2017 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28624,2016,Fall,Approved,F,NA,2016-2017,2016
155,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28625,2016,Fall,Approved,M,NA,2016-2017,2016
157,Fall 2016,White,May 21 2018 12:00AM,IES Abroad Granada - Study in Granada,Spain,Granada,Europe,28626,2016,Fall,Approved,F,NA,2016-2017,2016
158,Fall 2016,White,May 21 2018 12:00AM,Institute for Central American Development Studies - Social Justice & Development Internship,Costa Rica,San Jose,Latin America and Caribbean,28627,2016,Fall,Approved,F,NA,2016-2017,2016
159,Fall 2016,International student,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28628,2016,Fall,Approved,M,NA,2016-2017,2016
161,Fall 2016,Black or African-American,May 21 2018 12:00AM,X - Alliance for Global Education - Contemporary India,India,Pune,Asia,28629,2016,Fall,Approved,F,NA,2016-2017,2016
162,Fall 2016,Two or more races,May 21 2018 12:00AM,X - IES Abroad Amsterdam - Study Amsterdam,Netherlands,Amsterdam,Europe,28630,2016,Fall,Approved,M,NA,2016-2017,2016
163,Fall 2016,Hispanic (of any race),May 22 2017 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28631,2016,Fall,Approved,F,NA,2016-2017,2016
164,Fall 2016,White,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28632,2016,Fall,Approved,M,NA,2016-2017,2016
166,Fall 2016,Hispanic (of any race),May 22 2017 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28634,2016,Fall,Approved,F,NA,2016-2017,2016
167,Fall 2016,White,May 22 2017 12:00AM,Grinnell in London,United Kingdom,London,Europe,28635,2016,Fall,Approved,F,NA,2016-2017,2016
169,Fall 2016,International student,May 21 2018 12:00AM,"X - NYU Washington, DC",United States,"Washington, D.C.",North America,28636,2016,Fall,Approved,M,NA,2016-2017,2016
170,Fall 2016,International student,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28637,2016,Fall,Approved,F,NA,2016-2017,2016
171,Fall 2016,Asian,May 21 2018 12:00AM,Hamilton in Spain,Spain,Madrid,Europe,28638,2016,Fall,Approved,F,NA,2016-2017,2016
172,Fall 2016,Two or more races,May 21 2018 12:00AM,Bard-Smolny Study Abroad Program,Russia,St Petersburg,Europe,28639,2016,Fall,Approved,F,NA,2016-2017,2016
173,Fall 2016,International student,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28640,2016,Fall,Approved,F,NA,2016-2017,2016
175,Fall 2016,White,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28641,2016,Fall,Approved,M,NA,2016-2017,2016
176,Fall 2016,White,May 21 2018 12:00AM,X - South India Term Abroad,India,Madurai,Asia,28642,2016,Fall,Approved,F,NA,2016-2017,2016
177,Fall 2016,White,May 22 2017 12:00AM,X - The School for Field Studies - River Ecosystems & Environmental Ethics,Cambodia,Siem Reap,Asia,28643,2016,Fall,Approved,F,NA,2016-2017,2016
178,Fall 2016,Asian,May 21 2018 12:00AM,IES Abroad Nantes - Study in Nantes,France,Nantes,Europe,28644,2016,Fall,Approved,M,NA,2016-2017,2016
179,Fall 2016,International student,May 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,28645,2016,Fall,Approved,F,NA,2016-2017,2016
181,Fall 2016,International student,May 22 2017 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,28646,2016,Fall,Approved,M,NA,2016-2017,2016
182,Fall 2016,International student,May 22 2017 12:00AM,ACM Newberry Seminar: Research in the Humanities,United States,"Chicago, IL",North America,28647,2016,Fall,Approved,F,NA,2016-2017,2016
183,Fall 2016,International student,May 21 2018 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,28648,2016,Fall,Approved,F,NA,2016-2017,2016
184,Fall 2016,White,May 21 2018 12:00AM,"CIEE Art and Sciences Program in Hyderabad, India",India,Hyderabad,Asia,28649,2016,Fall,Approved,M,NA,2016-2017,2016
185,Fall 2017,International student,May 20 2019 12:00AM,ACM Oak Ridge Science Semester,United States,"Oak Ridge, TN",North America,37534,2017,Fall,Approved,M,NA,2017-2018,2017
186,Fall 2017,Hispanic (of any race),May 20 2019 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,38108,2017,Fall,Intend to Participate,F,NA,2017-2018,2017
187,Fall 2017,White,May 20 2019 12:00AM,Grinnell in London,United Kingdom,London,Europe,39233,2017,Fall,Approved,F,NA,2017-2018,2017
